category_code,product_count,current_display_name,confirmed_name
HLN,37618,HLN,
BHL,18903,BHL,
TRD,13908,TRD,
ATT,4912,ATT,
GEN,4590,GEN,
ENG,2151,ENG,
SSL,1153,SSL,
TH,725,TH,
528,545,528,
3DX,166,3DX,
ACS,109,ACS,
530,101,530,
455,43,455,
UNCATEGORIZED,31,UNCATEGORIZED,
LUB,28,LUB,
ATH,25,ATH,
210,22,210,
130,21,130,
G1,21,G1,
LOD,19,LOD,
205,9,205,
3CX,7,3CX,
506,5,506,
VMX,5,VMX,
J81,5,J81,
432,4,432,
WLS,4,WLS,
J30,3,J30,
J20,3,J20,
G20,3,G20,
3DE,1,3DE,
P92,1,P92,
4DX,1,4DX,
V37,1,V37,
J25,1,J25,
ACC,1,ACC,
2DX,1,2DX,
43X,1,43X,
140,1,140,
430,1,430,
3D,1,3D,
