external_product_name,external_part_numbers,external_category,external_product_url,external_image_url,match_confidence,matched_rre_part_number,matched_rre_description,matched_rre_slug,matched_rre_category,matched_rre_current_image_status,token_similarity,reconciliation_action
"Wheel Nuts, 3/4",106/40001 | 400/N6589,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/wheel-nuts-3-4-106-40001-400-n6589-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/MXY4cjhsTGNTYnhiY2V0Vlo3Y0RZZz09_1745472811_0.jpg,HIGH,400/N6589,WHEEL NUT,400-n6589-wheel-nut,Axle & Wheel Parts,generated_image,0.33,CROSS_REFERENCE_CONFIRMED
Hub Cap 2WD Machines,120/30009,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/hub-cap-2wd-machines-120-30009-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/NHZwYjd1akswNUVSMm9FZXhEWTVVdz09_1745473412_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
2WD Front Hub,121/16702,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/2wd-front-hub-121-16702-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cUx2TXdiYjJ5RFlzOFM4R3pUTXJ5UT09_1744450443_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Carrier Left Hand,123/00363,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/carrier-left-hand-123-00363-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/NXREYUI2TXJnbHZYdUtsWE4yOTNjZz09_1744457202_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Carrier Right Hand,123/00362,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/carrier-right-hand-123-00362-jcb-genuine-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/djNFNVhidXVJd3NwNGFzR0NiT3VJdz09_1744458057_0.jpg,UNMATCHED,,,,,,0,EXTERNAL_ONLY_PRODUCT
Bolt & Nut 1/2 X 3 3/4,1305/3428z | 1340/0403z,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/bolt-nut-1-2-x-3-3-4-1305-3428z-1340-0403z-replacement-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cmsra2MzdUhNVU9GUzVPNlFaa3ZJUT09_1744458698_0.jpg,HIGH,1305/3428Z,BOLT,1305-3428z-bolt,Category under review,placeholder_image,0.5,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
Bolt & Nut M12,1305/3430z | 1340/0403z,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/bolt-nut-m12-1305-3430z-1340-0403z-jcb-spares,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZDdseWNmNTJvb3Z5dEdjT0xHNnRhQT09_1744459016_0.jpg,HIGH,1305/3430Z,BOLT,1305-3430z-bolt,Category under review,placeholder_image,0.33,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
Bolt & Nut M10x80,1315/3418z | 1370/0303z,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/bolt-nut-m10x80-1315-3418z-1370-0303z-jcb-parts-catalog,https://enterprise.saioautomotive.com/backend/assets/uploads/products/TEttdnRoVlREZVEwMlZyQjBxT0JCdz09_1744459310_0.jpg,EXACT,1315/3418Z,BOLT M10 X 80 G8.8,1315-3418z-bolt-m10-x-80-g88,Category under review,placeholder_image,0.17,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
Bolt & Nut M12x80,1315/3518z | 1370/0403z,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/bolt-nut-m12x80-1315-3518z-1370-0403z-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SGNDcG1IQkFMM2NUS3JGUDI4L1dMUT09_1744608815_0.jpg,HIGH,1315/3518Z,BOLT M12x80,1315-3518z-bolt-m12x80,Engine Parts,source_image,0.67,CROSS_REFERENCE_CONFIRMED
Bolt & Nut M12x100,1315/3520z | 1370/0401z,Axle & Wheel Parts,https://www.antheautoparts.com/product-details/bolt-nut-m12x100-1315-3520z-1370-0401z-jcb-parts,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SitpMC9GYTRVOSt6R1lnOW1qRDYzZz09_1744608915_0.jpg,EXACT,1315/3520Z,BOLT M12 x 100 G8.8,1315-3520z-bolt-m12-x-100-g88,Category under review,placeholder_image,0.17,DISCOVERED_IMAGE_REFERENCE_FOR_REVIEW
