asset_type,target_filename,source_file,original_width,original_height,processed_width,processed_height,file_size_kb,format,quality_score,status
category_image,hoses.webp,category_hoses_1787594633959.jpg,1200,896,1024,765,112,webp,100,APPROVED_FOR_INTEGRATION
category_image,seals-seal-kits.webp,category_seals_kits_1787594651026.jpg,1200,896,1024,765,124,webp,100,APPROVED_FOR_INTEGRATION
category_image,shim-spacer-washer.webp,category_shim_spacer_1787594666267.jpg,1200,896,1024,765,135,webp,100,APPROVED_FOR_INTEGRATION
category_image,electrical-parts.webp,category_electrical_parts_1787594684742.jpg,1200,896,1024,765,82,webp,100,APPROVED_FOR_INTEGRATION
category_image,cabin-parts.webp,category_cabin_parts_1787594705314.jpg,1200,896,1024,765,85,webp,100,APPROVED_FOR_INTEGRATION
category_image,engine-parts.webp,category_engine_parts_1787594848048.jpg,1200,896,1024,765,86,webp,100,APPROVED_FOR_INTEGRATION
category_image,filters.webp,category_filters_1787594868620.jpg,1200,896,1024,765,67,webp,100,APPROVED_FOR_INTEGRATION
category_image,pins.webp,category_pins_bushes_1787594890346.jpg,1200,896,1024,765,107,webp,100,APPROVED_FOR_INTEGRATION
category_image,bushes-bearing-liners.webp,category_pins_bushes_1787594890346.jpg,1200,896,1024,765,107,webp,100,APPROVED_FOR_INTEGRATION
category_image,wear-pads-wear-plates.webp,category_rubber_parts_1787594914183.jpg,1200,896,1024,765,62,webp,100,APPROVED_FOR_INTEGRATION
category_image,solenoid.webp,category_solenoid_1787594939799.jpg,1200,896,1024,765,84,webp,100,APPROVED_FOR_INTEGRATION
category_image,body-parts.webp,category_fabrication_1787594962600.jpg,1200,896,1024,765,95,webp,100,APPROVED_FOR_INTEGRATION
category_image,hydraulic-pump-drive.webp,category_hydraulic_parts_1787595486326.jpg,1200,896,1024,765,57,webp,100,APPROVED_FOR_INTEGRATION
category_image,transmission-gear-parts.webp,category_transmission_1787595515439.jpg,1200,896,1024,765,115,webp,100,APPROVED_FOR_INTEGRATION
product_thumbnail,02-100073-filterelement.webp,02-100073-filterelement.webp,640,480,320,240,1,webp,40,OPTIMIZED
product_thumbnail,02-100078-ring-starter.webp,02-100078-ring-starter.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-100192-thermostat.webp,02-100192-thermostat.webp,640,480,320,240,4,webp,40,OPTIMIZED
product_thumbnail,02-100284-oil-filter.webp,02-100284-oil-filter.webp,640,480,320,240,3,webp,40,OPTIMIZED
product_thumbnail,02-192069-bush.webp,02-192069-bush.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-200018-pulley.webp,02-200018-pulley.webp,640,480,320,240,4,webp,40,OPTIMIZED
product_thumbnail,02-200145-gasket.webp,02-200145-gasket.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-200918-hose.webp,02-200918-hose.webp,640,480,320,240,1,webp,40,OPTIMIZED
product_thumbnail,02-201343-cap-oilfilter.webp,02-201343-cap-oilfilter.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-201729-gasketcylhead.webp,02-201729-gasketcylhead.webp,640,480,320,240,4,webp,40,OPTIMIZED
product_thumbnail,02-202326-gasket.webp,02-202326-gasket.webp,640,480,320,240,3,webp,40,OPTIMIZED
product_thumbnail,02-202336-hose.webp,02-202336-hose.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-202411-connector.webp,02-202411-connector.webp,640,480,320,240,2,webp,40,OPTIMIZED
product_thumbnail,02-203184-connector.webp,02-203184-connector.webp,640,480,320,240,4,webp,40,OPTIMIZED
product_thumbnail,03-300001-torque-convertor.webp,03-300001-torque-convertor.webp,640,480,320,240,3,webp,40,OPTIMIZED
