asset_id,source_image_url,source_product_name,source_part_numbers,source_product_url,matched_rre_part_number,matched_rre_slug,current_rre_image_status,reuse_allowed,rights_review_status,workflow_state,recommended_action,notes
img_b06b06da7ab4,https://enterprise.saioautomotive.com/backend/assets/uploads/products/MXY4cjhsTGNTYnhiY2V0Vlo3Y0RZZz09_1745472811_0.jpg,,106/40001 | 400/N6589,https://www.antheautoparts.com/product-details/wheel-nuts-3-4-106-40001-400-n6589-jcb-parts,400/N6589,400-n6589-wheel-nut,generated_image,false,RRE_GENERATED_AVAILABLE,RIGHTS_REVIEW_COMPLETE,PRESERVE_EXISTING_RRE_GENERATED_ASSET,RRE generated visual asset is already assigned.
img_0a3f4d8e8564,https://enterprise.saioautomotive.com/backend/assets/uploads/products/NHZwYjd1akswNUVSMm9FZXhEWTVVdz09_1745473412_0.jpg,,120/30009,https://www.antheautoparts.com/product-details/hub-cap-2wd-machines-120-30009-jcb-spares,N/A,N/A,N/A,false,UNMATCHED_EXTERNAL_REFERENCE,RIGHTS_REVIEW_COMPLETE,STAGED_AS_TECHNICAL_REFERENCE,External part not currently in RRE master catalog. Image staged in reference archive.
img_a665a7546e2d,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cUx2TXdiYjJ5RFlzOFM4R3pUTXJ5UT09_1744450443_0.jpg,,121/16702,https://www.antheautoparts.com/product-details/2wd-front-hub-121-16702-jcb-parts-catalog,N/A,N/A,N/A,false,UNMATCHED_EXTERNAL_REFERENCE,RIGHTS_REVIEW_COMPLETE,STAGED_AS_TECHNICAL_REFERENCE,External part not currently in RRE master catalog. Image staged in reference archive.
img_7ea4df431897,https://enterprise.saioautomotive.com/backend/assets/uploads/products/NXREYUI2TXJnbHZYdUtsWE4yOTNjZz09_1744457202_0.jpg,,123/00363,https://www.antheautoparts.com/product-details/carrier-left-hand-123-00363-jcb-spares,N/A,N/A,N/A,false,UNMATCHED_EXTERNAL_REFERENCE,RIGHTS_REVIEW_COMPLETE,STAGED_AS_TECHNICAL_REFERENCE,External part not currently in RRE master catalog. Image staged in reference archive.
img_8c86f809b85f,https://enterprise.saioautomotive.com/backend/assets/uploads/products/djNFNVhidXVJd3NwNGFzR0NiT3VJdz09_1744458057_0.jpg,,123/00362,https://www.antheautoparts.com/product-details/carrier-right-hand-123-00362-jcb-genuine-parts,N/A,N/A,N/A,false,UNMATCHED_EXTERNAL_REFERENCE,RIGHTS_REVIEW_COMPLETE,STAGED_AS_TECHNICAL_REFERENCE,External part not currently in RRE master catalog. Image staged in reference archive.
img_84fb3948f3a2,https://enterprise.saioautomotive.com/backend/assets/uploads/products/cmsra2MzdUhNVU9GUzVPNlFaa3ZJUT09_1744458698_0.jpg,,1305/3428z | 1340/0403z,https://www.antheautoparts.com/product-details/bolt-nut-1-2-x-3-3-4-1305-3428z-1340-0403z-replacement-jcb-parts,1305/3428Z,1305-3428z-bolt,placeholder_image,false,FLAGGED_FOR_RRE_ASSET_GENERATION,RIGHTS_REVIEW_COMPLETE,GENERATE_NEW_RRE_ASSET_FROM_REFERENCE,"External photo serves strictly as a technical visual reference to produce an unbranded, high-resolution RRE International asset."
img_2b5a83da6aea,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ZDdseWNmNTJvb3Z5dEdjT0xHNnRhQT09_1744459016_0.jpg,,1305/3430z | 1340/0403z,https://www.antheautoparts.com/product-details/bolt-nut-m12-1305-3430z-1340-0403z-jcb-spares,1305/3430Z,1305-3430z-bolt,placeholder_image,false,FLAGGED_FOR_RRE_ASSET_GENERATION,RIGHTS_REVIEW_COMPLETE,GENERATE_NEW_RRE_ASSET_FROM_REFERENCE,"External photo serves strictly as a technical visual reference to produce an unbranded, high-resolution RRE International asset."
img_bcbf3212991d,https://enterprise.saioautomotive.com/backend/assets/uploads/products/TEttdnRoVlREZVEwMlZyQjBxT0JCdz09_1744459310_0.jpg,,1315/3418z | 1370/0303z,https://www.antheautoparts.com/product-details/bolt-nut-m10x80-1315-3418z-1370-0303z-jcb-parts-catalog,1315/3418Z,1315-3418z-bolt-m10-x-80-g88,placeholder_image,false,FLAGGED_FOR_RRE_ASSET_GENERATION,RIGHTS_REVIEW_COMPLETE,GENERATE_NEW_RRE_ASSET_FROM_REFERENCE,"External photo serves strictly as a technical visual reference to produce an unbranded, high-resolution RRE International asset."
img_c1d335cdfd4d,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SGNDcG1IQkFMM2NUS3JGUDI4L1dMUT09_1744608815_0.jpg,,1315/3518z | 1370/0403z,https://www.antheautoparts.com/product-details/bolt-nut-m12x80-1315-3518z-1370-0403z-jcb-parts,1315/3518Z,1315-3518z-bolt-m12x80,source_image,false,RRE_ORIGINAL_AVAILABLE,RIGHTS_REVIEW_COMPLETE,PRESERVE_EXISTING_RRE_ORIGINAL_PHOTO,RRE already possesses an authentic catalog photograph for this SKU; external image kept purely as secondary cross-reference.
img_cb09caec3d9c,https://enterprise.saioautomotive.com/backend/assets/uploads/products/SitpMC9GYTRVOSt6R1lnOW1qRDYzZz09_1744608915_0.jpg,,1315/3520z | 1370/0401z,https://www.antheautoparts.com/product-details/bolt-nut-m12x100-1315-3520z-1370-0401z-jcb-parts,1315/3520Z,1315-3520z-bolt-m12-x-100-g88,placeholder_image,false,FLAGGED_FOR_RRE_ASSET_GENERATION,RIGHTS_REVIEW_COMPLETE,GENERATE_NEW_RRE_ASSET_FROM_REFERENCE,"External photo serves strictly as a technical visual reference to produce an unbranded, high-resolution RRE International asset."
img_8a53ae228ab6,https://enterprise.saioautomotive.com/backend/assets/uploads/products/ckRRakxMTnZpakZPN0hPRFNXU3dOQT09_1744608992_0.jpg,,1315/3522z,https://www.antheautoparts.com/product-details/bolt-nut-m12-x-120-1315-3522z-jcb-parts-catalog,1315/3522Z,1315-3522z-bolt-m12-x-120-g88,placeholder_image,false,FLAGGED_FOR_RRE_ASSET_GENERATION,RIGHTS_REVIEW_COMPLETE,GENERATE_NEW_RRE_ASSET_FROM_REFERENCE,"External photo serves strictly as a technical visual reference to produce an unbranded, high-resolution RRE International asset."
