part_number,description,category,original_image,original_resolution,final_image,final_resolution,image_source,image_status,matching_method,confidence,qa_status,notes
2407/0227,ORING,Seals & Seal Kits,p075_r32_4.webp,195x119,/images/products/2407-0227-oring.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 75 row 32; geometry & mechanical details preserved.
02/200145,GASKET,Gasket,p057_rx_1.webp,208x96,/images/products/02-200145-gasket.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 57 row null; geometry & mechanical details preserved.
02/100073,FILTERELEMENT,Filters,p053_rx_1.webp,104x140,/images/products/02-100073-filterelement.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 53 row null; geometry & mechanical details preserved.
120/30006,WASHER,Shim / Spacer / Washer,p083_rx_1.webp,192x140,/images/products/120-30006-washer.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 83 row null; geometry & mechanical details preserved.
02/100192,THERMOSTAT,Engine Parts,p045_rx_2.webp,203x140,/images/products/02-100192-thermostat.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 45 row null; geometry & mechanical details preserved.
907/04100,BEARING-SPURPINION,Bearings,p011_rx_1.webp,236x140,/images/products/907-04100-bearing-spurpinion.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 11 row null; geometry & mechanical details preserved.
331/27411,SPINNER KNOB,Cabin Parts,p034_r60_4.webp,173x141,/images/products/331-27411-spinner-knob.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 34 row 60; geometry & mechanical details preserved.
1019/3832,PIVOT PIN,Pins,p067_rx_1.webp,218x87,/images/products/1019-3832-pivot-pin.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 67 row null; geometry & mechanical details preserved.
1096/2004,PIVOTBOSS,Bushes / Bearing Liners,p023_rx_1.webp,233x140,/images/products/1096-2004-pivotboss.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 23 row null; geometry & mechanical details preserved.
02/100078,RING STARTER,Axle & Wheel Parts,p010_r127_1.webp,247x133,/images/products/02-100078-ring-starter.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 10 row 127; geometry & mechanical details preserved.
02/200918,HOSE,Hoses,p060_rx_1.webp,239x93,/images/products/02-200918-hose.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 60 row null; geometry & mechanical details preserved.
25/103000,SOLENOIDVALVE,Electrical Parts,p039_rx_4.webp,196x136,/images/products/25-103000-solenoidvalve.webp,640x480,enhanced_rre_pdf,enhanced,exact_oe_reference,high,approved,Enhanced from PDF page 39 row null; geometry & mechanical details preserved.
