part_number,description,category,original_image,original_resolution,final_image,final_resolution,image_source,image_status,matching_method,confidence,qa_status,notes
5024,DISCCUTTER,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1252029,Track Rod Link (335/Y0144),Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
108064650,BOLT,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
501211778,AEB STARTER.,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
732020084,TENSIONSPRING,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
737503053,SLOTTEDNUT,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
750112141,PROF.SEAL RING,Seals & Seal Kits,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
900000007,CAPSCREW,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090005670,Bolt L=65,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090091141,BOLT,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090300910,Bolt,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090440470,Bolt,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090520221,Bolt L=84,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090701000,Bolt M12X100,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1090701010,Bolt L=113,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1093607820,HOSETURBOAIRINLET,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1094400401,Nut,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1094680021,NUT,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096000160,CUPSEALING,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096230580,SEAL,Seals & Seal Kits,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096231630,ORING,Seals & Seal Kits,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096231830,ORING,Seals & Seal Kits,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096234620,GASKET,Gasket,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096254380,SEALOILFRONT,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096254391,SEALOILREAR,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096255450,SEAL,Seals & Seal Kits,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096300820,WASHERSEAL,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096300830,WASHERSEAL,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096370581,GASKET,Gasket,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096370582,GASKET,Gasket,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096370600,GASKET,Gasket,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096370601,GASKET,Gasket,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096390320,BUSHRUBBER,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096750371,BOLTEYE,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096750770,BOLTBANJO,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
1096750810,BOLT BANZO,Category under review,None,N/A,/images/products/rre-image-coming-soon.png,640x640,placeholder,placeholder,none,none,approved,No reliable visual reference available in source PDF; standard placeholder assigned.
