part_number,description,mrp,hsn,gst,category,slug,image_status,indexable,canonical_url,migration_status,notes
5024,DISCCUTTER,325888,8431 49 30,18,ATT,5024-disccutter,image_pending,true,/products/5024-disccutter,migrated,
1252029,Track Rod Link (335/Y0144),1111,8708 99 00,18,BHL,1252029-track-rod-link-335-y0144,image_pending,true,/products/1252029-track-rod-link-335-y0144,migrated,
108064650,BOLT,150,7318 21 00,18,BHL,108064650-bolt,image_pending,true,/products/108064650-bolt,migrated,
501211778,AEB STARTER.,30231,8431 41 00,18,HLN,501211778-aeb-starter,image_pending,true,/products/501211778-aeb-starter,migrated,
732020084,TENSIONSPRING,136,8431 49 30,18,BHL,732020084-tensionspring,image_pending,true,/products/732020084-tensionspring,migrated,
737503053,SLOTTEDNUT,9612,8431 41 00,18,BHL,737503053-slottednut,image_pending,true,/products/737503053-slottednut,migrated,
750112141,PROF.SEAL RING,875,8431 49 30,18,HLN,750112141-profseal-ring,image_pending,true,/products/750112141-profseal-ring,migrated,
900000007,CAPSCREW,803,7318 21 00,18,HLN,900000007-capscrew,image_pending,true,/products/900000007-capscrew,migrated,
1090005670,Bolt L=65,614,7318 11 10,18,HLN,1090005670-bolt-l65,image_pending,true,/products/1090005670-bolt-l65,migrated,
1090091141,BOLT,1182,7318 21 00,18,HLN,1090091141-bolt,image_pending,true,/products/1090091141-bolt,migrated,
1090300910,Bolt,111,7318 11 10,18,HLN,1090300910-bolt,image_pending,true,/products/1090300910-bolt,migrated,
1090440470,Bolt,189,7318 11 10,18,HLN,1090440470-bolt,image_pending,true,/products/1090440470-bolt,migrated,
1090520221,Bolt L=84,303,7318 11 10,18,HLN,1090520221-bolt-l84,image_pending,true,/products/1090520221-bolt-l84,migrated,
1090701000,Bolt M12X100,1077,7318 11 10,18,HLN,1090701000-bolt-m12x100,image_pending,true,/products/1090701000-bolt-m12x100,migrated,
1090701010,Bolt L=113,1077,7318 11 10,18,HLN,1090701010-bolt-l113,image_pending,true,/products/1090701010-bolt-l113,migrated,
1093607820,HOSETURBOAIRINLET,11170,4009 12 00,18,HLN,1093607820-hoseturboairinlet,image_pending,true,/products/1093607820-hoseturboairinlet,migrated,
1094400401,Nut,668,7318 21 00,18,HLN,1094400401-nut,image_pending,true,/products/1094400401-nut,migrated,
1094680021,NUT,1175,7318 21 00,18,HLN,1094680021-nut,image_pending,true,/products/1094680021-nut,migrated,
1096000160,CUPSEALING,333,7318 21 00,18,HLN,1096000160-cupsealing,image_pending,true,/products/1096000160-cupsealing,migrated,
1096230580,SEAL,815,7318 16 60,18,TRD,1096230580-seal,image_pending,true,/products/1096230580-seal,migrated,
1096231630,ORING,244,4016 93 30,18,HLN,1096231630-oring,image_pending,true,/products/1096231630-oring,migrated,
1096231830,ORING,516,4016 93 30,18,BHL,1096231830-oring,image_pending,true,/products/1096231830-oring,migrated,
1096234620,GASKET,390,4016 93 30,18,HLN,1096234620-gasket,image_pending,true,/products/1096234620-gasket,migrated,
1096254380,SEALOILFRONT,2664,4016 93 30,18,HLN,1096254380-sealoilfront,image_pending,true,/products/1096254380-sealoilfront,migrated,
1096254391,SEALOILREAR,7444,4016 93 30,18,HLN,1096254391-sealoilrear,image_pending,true,/products/1096254391-sealoilrear,migrated,
1096255450,SEAL,948,4016 93 30,18,BHL,1096255450-seal,image_pending,true,/products/1096255450-seal,migrated,
1096300820,WASHERSEAL,412,4016 93 30,18,HLN,1096300820-washerseal,image_pending,true,/products/1096300820-washerseal,migrated,
1096300830,WASHERSEAL,529,4016 93 30,18,HLN,1096300830-washerseal,image_pending,true,/products/1096300830-washerseal,migrated,
1096370581,GASKET,418,8484 10 10,18,HLN,1096370581-gasket,image_pending,true,/products/1096370581-gasket,migrated,
1096370582,GASKET,196,8409 99 90,18,BHL,1096370582-gasket,image_pending,true,/products/1096370582-gasket,migrated,
1096370600,GASKET,337,8484 10 10,18,HLN,1096370600-gasket,image_pending,true,/products/1096370600-gasket,migrated,
1096370601,GASKET,224,8484 10 10,18,HLN,1096370601-gasket,image_pending,true,/products/1096370601-gasket,migrated,
1096390320,BUSHRUBBER,148,4016 93 30,18,HLN,1096390320-bushrubber,image_pending,true,/products/1096390320-bushrubber,migrated,
1096750371,BOLTEYE,388,7318 21 00,18,HLN,1096750371-bolteye,image_pending,true,/products/1096750371-bolteye,migrated,
1096750770,BOLTBANJO,481,7318 21 00,18,HLN,1096750770-boltbanjo,image_pending,true,/products/1096750770-boltbanjo,migrated,
1096750810,BOLT BANZO,758,7318 11 10,18,HLN,1096750810-bolt-banzo,image_pending,true,/products/1096750810-bolt-banzo,migrated,
